prompt,result,acc,self-contra,type,finer
"Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  [MASK] was happy for him. Does [MASK] refer to Aaron or Benjamin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Benjamin
Reasoning: The sentence states that Benjamin made the fatal shot, implying that the hunting trip was successful for him. Therefore, it is reasonable to assume that [MASK] who is happy for Aaron, is Benjamin.",0,0,,wek
"Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  [MASK] was happy for himself. Does [MASK] refer to Aaron or Benjamin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Benjamin
Reasoning: The sentence states that Benjamin made the fatal shot, implying that he was successful in his hunting trip. The use of the word ""happy"" suggests that Benjamin is pleased with himself for making the shot.",1,0,,
"Kevin is far more physically versatile than Nick, because [MASK] is an injured athlete in bed. Does [MASK] refer to Kevin or Nick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Nick

Reasoning: The sentence states that Kevin is more physically versatile than Nick, but then it provides a reason why Nick is ""in bed,"" implying that he is injured. Therefore, [MASK] must refer to Nick.",1,0,,
"Kevin is far more physically versatile than Nick, because [MASK] is a seasoned athlete in training. Does [MASK] refer to Kevin or Nick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kevin
Reasoning: The sentence states that Kevin is more physically versatile than Nick because [MASK] is a seasoned athlete in training. Since the sentence uses ""because"" to explain why Kevin is more versatile, and the reason given is that [MASK] is a seasoned athlete, it follows that [MASK] must refer to Kevin.",1,0,,
"Adam put handwash only clothes in the washer but Aaron washed them by hand as [MASK] was lazy. Does [MASK] refer to Adam or Aaron? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Aaron
Reasoning: The sentence states that Adam put handwash only clothes in the washer, but Aaron washed them by hand. Since Aaron was the one who did not use the washer, it is reasonable to conclude that [MASK] was Aaron.",0,1,,ir
"Adam put handwash only clothes in the washer but Aaron washed them by hand as [MASK] was conscientious. Does [MASK] refer to Adam or Aaron? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Aaron
Reasoning: The sentence states that Aaron washed the handwash only clothes by hand instead of putting them in the washer as Adam did. The reason Aaron did this was because he was conscientious. Therefore, [MASK] should be Aaron.",1,0,,
"Kyle loves the flavor of apricots but Matthew likes plums better. [MASK] couldn't wait for plum season. Does [MASK] refer to Kyle or Matthew? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Matthew
Reasoning: The sentence states that Kyle loves the flavor of apricots, while Matthew likes plums better. Since Matthew has a preference for plums, it is reasonable to assume that he is looking forward to the plum season.",1,0,,
"Kyle loves the flavor of apricots but Matthew likes plums better. [MASK] couldn't wait for apricot season. Does [MASK] refer to Kyle or Matthew? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kyle
Reasoning: The sentence states that Kyle loves the flavor of apricots, implying that he looks forward to the season when apricots are available. Therefore, it is reasonable to conclude that [MASK] refers to Kyle.",1,0,,
"Derrick was unable to stay focused at work unlike Justin, because [MASK] had a fun job. Does [MASK] refer to Derrick or Justin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Justin

Reasoning: The sentence states that Derrick had a hard time focusing at work because someone had a fun job. Since Derrick was having trouble focusing, it is reasonable to assume that the person with the fun job is the cause of his distraction. Therefore, [MASK] must refer to Justin.",1,0,,
"Derrick was unable to stay focused at work unlike Justin, because [MASK] had a boring job. Does [MASK] refer to Derrick or Justin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Justin

Reasoning: The sentence states that Derrick had trouble focusing at work because Justin had a boring job. This implies that Justin's job was less engaging or interesting compared to Derrick's, which may have contributed to Derrick's lack of focus.",0,0,,bq
"Avery was debating on taking up German instead of Latin, because the [MASK] was newer. Does [MASK] refer to Latin or German? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: German
Reasoning: The sentence states that Avery was debating between German and Latin, and she was considering German because it was newer. Therefore, [MASK] refers to German.",1,1,,bq
"Avery was debating on taking up German instead of Latin, because the [MASK] was old. Does [MASK] refer to Latin or German? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Latin
Reasoning: The sentence states that Avery was debating between German and Latin, and the reason she was considering German instead of Latin was because the [MASK] was old. Old in this context refers to something that is outdated or less popular, which is more likely to describe Latin compared to German.",1,0,,
"Kayla dated many more people at once than Betty, because [MASK] was in an open relationship. Does [MASK] refer to Kayla or Betty? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kayla
Reasoning: The sentence states that Kayla dated many more people at once than Betty, and the reason for that was because one of them was in an open relationship. Since the open relationship applies to Kayla, it is the most logical conclusion that [MASK] refers to Kayla.",1,1,,bq
"Kayla dated many more people at once than Betty, because [MASK] was in an exclusive relationship. Does [MASK] refer to Kayla or Betty? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Betty
Reasoning: The sentence states that Kayla dated many more people at once than Betty, and the reason for that was because Betty was in an exclusive relationship. This means that Betty was not dating multiple people, while Kayla was. Therefore, [MASK] refers to Betty.",1,1,,bq
"Steven proudly showed Michael the mangoes he grew himself all this summer.  [MASK] is hardworking. Does [MASK] refer to Steven or Michael? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Steven
Reasoning: The sentence states that Steven grew the mangoes himself all summer, implying that he put in a lot of effort and hard work into growing them. Therefore, the description ""is hardworking"" applies to Steven.",1,0,,
"Steven proudly showed Michael the mangoes he grew himself all this summer.  [MASK] is astonished. Does [MASK] refer to Steven or Michael? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Michael
Reasoning: The sentence states that Steven showed Michael the mangoes he grew himself all this summer. Michael is the person who is being shown the mangoes and is astonished by them.",1,1,,bq
"The letter that Joel has written is being read by Adam, so [MASK] is the writer. Does [MASK] refer to Joel or Adam? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Joel
Reasoning: The sentence states that the letter that Joel has written is being read by Adam. Therefore, Joel is the writer of the letter.",1,0,,
"The letter that Joel has written is being read by Adam, so [MASK] is the editor. Does [MASK] refer to Joel or Adam? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Adam
Reasoning: The sentence states that ""Adam is reading the letter that Joel has written."" Therefore, Adam is the editor in this context.",1,0,,
"Kyle was more comfortable speaking in front of large groups than Nick, because [MASK] had taken public speaking courses in college. Does [MASK] refer to Kyle or Nick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kyle
Reasoning: The sentence states that Kyle was more comfortable speaking in front of large groups than Nick, and the reason for this was that [MASK] had taken public speaking courses in college. Since the sentence uses ""Kyle was more comfortable"" and ""had taken public speaking courses,"" it implies that Kyle is the one who took the courses and gained the confidence to speak in front of large groups.",1,0,,
"Kyle was more comfortable speaking in front of large groups than Nick, because [MASK] was not able to take public speaking courses in college. Does [MASK] refer to Kyle or Nick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Nick
Reasoning: The sentence states that Kyle was more comfortable speaking in front of large groups than Nick, and the reason for this was that [MASK] was not able to take public speaking courses in college. Therefore, [MASK] must refer to Nick, as it was his lack of public speaking experience that made him less comfortable in large groups compared to Kyle.",1,0,,
"In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. [MASK] was very hesitant with showing their body. Does [MASK] refer to Emily or Felicia? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Felicia
Reasoning: The sentence states that Emily swam in the nude while Felicia wore a full body swimsuit. Felicia's hesitance to show her body is implied by her choice to wear a swimsuit, so it is reasonable to conclude that [MASK] refers to Felicia.",1,1,,bq
"In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. [MASK] was very free with showing their body. Does [MASK] refer to Emily or Felicia? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Emily
Reasoning: The sentence states that Emily swam in the nude while Felicia wore a full body swimsuit. Since Emily was not covered in clothing while swimming, it is reasonable to conclude that [MASK] was referring to Emily.",1,0,,
"Sarah Jane's watch smashed when the book hit it since the [MASK] was too strong. Does [MASK] refer to watch or book? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: book
Reasoning: The sentence states that Sarah Jane's watch smashed when the book hit it, indicating that the book was the cause of the damage to the watch.",1,0,,
"Sarah Jane's watch smashed when the book hit it since the [MASK] was too weak. Does [MASK] refer to watch or book? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: book
Reasoning: The sentence states that Sarah Jane's watch smashed when the book hit it. Therefore, the [MASK] that was too weak must refer to the book, as it was the cause of the watch being damaged.",0,0,,wek
"Joseph had to have well manicured nails for work, but not Kevin, because [MASK] worked at a bank. Does [MASK] refer to Joseph or Kevin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Joseph
Reasoning: The sentence states that Joseph had to have well manicured nails for work, but Kevin did not have that requirement because he worked at a bank. Therefore, it is logical to conclude that [MASK] refers to Joseph.",1,0,,ir
"Joseph had to have well manicured nails for work, but not Kevin, because [MASK] worked at a farm. Does [MASK] refer to Joseph or Kevin? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kevin
Reasoning: Since Kevin worked at a farm, it is reasonable to assume that having well-manicured nails is not necessary for his job. In contrast, Joseph's job requires him to have well-manicured nails. Therefore, [MASK] refers to Kevin.",1,0,,
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because [MASK] had spiked shoes on. Does [MASK] refer to Dennis or Christopher? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Christopher
Reasoning: The sentence states that Dennis fell in the mud, but Christopher kept their balance. The reason Christopher kept their balance was because they had spiked shoes on. Therefore, [MASK] must refer to Christopher.",1,0,,
"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because [MASK] had slippery shoes on. Does [MASK] refer to Dennis or Christopher? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Dennis
 Reasoning: The sentence states that Dennis fell in the mud while Christopher kept their balance. Since falling in the mud indicates that someone had slippery shoes, it is logical to conclude that [MASK] refers to Dennis.",1,0,,
"I couldn't control the moisture like I controlled the rain, because the [MASK] was coming in at one spot. Does [MASK] refer to moisture or rain? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: moisture
 Reasoning: The sentence states that the speaker couldn't control the moisture like they controlled the rain. Since moisture is the thing that the speaker is having trouble controlling, it is the correct answer.",0,1,,ir
"I couldn't control the moisture like I controlled the rain, because the [MASK] was coming in everywhere. Does [MASK] refer to moisture or rain? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: moisture
Reasoning: The sentence states that the speaker couldn't control the moisture like they controlled the rain. Since moisture is the substance that the speaker is having trouble controlling, it is the correct answer.",1,0,,ir
"Leslie was fascinated with collecting new shoes compared to Derrick, because [MASK] loved fashion trends. Does [MASK] refer to Leslie or Derrick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Leslie
Reasoning: The sentence states that Leslie was fascinated with collecting new shoes compared to Derrick. The reason for her fascination is given as her love for fashion trends. Therefore, [MASK] should refer to Leslie.",1,0,,
"Leslie was fascinated with collecting new shoes compared to Derrick, because [MASK] hated fashion trends. Does [MASK] refer to Leslie or Derrick? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Derrick
 Reasoning: The sentence states that Leslie was fascinated with collecting new shoes compared to Derrick. The contrasting part is ""because [MASK] hated fashion trends."" Since Derrick hates fashion trends, it is reasonable to assume that [MASK] refers to Derrick.",1,1,,bq
"Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. [MASK] bought a ticket to the jazz concert. Does [MASK] refer to Jessica or Patricia? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Jessica
 Reasoning: The sentence states that Jessica thought Sandstorm was the greatest song ever written, implying that she holds it in high regard. Since the sentence does not mention Patricia buying a ticket, it is reasonable to assume that Jessica is the one who bought the ticket to the jazz concert, possibly to see the band perform Sandstorm.",0,0,,wck
"Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. [MASK] bought a ticket to the Darude rave. Does [MASK] refer to Jessica or Patricia? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Jessica
Reasoning: The sentence states that Jessica thought Sandstorm was the greatest song ever written, implying that she holds it in high regard. Since buying a ticket to a Darude rave, where Sandstorm is likely to be performed, would be an action taken by someone who enjoys the song, it is reasonable to conclude that [MASK] refers to Jessica.",1,0,,
"Bill poured the entire bowl of cheese snack into his mouth until the [MASK] was empty. Does [MASK] refer to mouth or bowl? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: bowl
 Reasoning: The sentence states that Bill poured the entire bowl of cheese snack into his mouth until the bowl was empty. Therefore, the [MASK] must refer to the bowl.",1,1,,bq
"Bill poured the entire bowl of cheese snack into his mouth until the [MASK] was full. Does [MASK] refer to mouth or bowl? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: bowl
 Reasoning: The sentence states that Bill poured the entire bowl of cheese snacks into his mouth until the bowl was full. This indicates that the bowl was the container that held the cheese snacks and was emptied by Bill.",0,0,,bq
"Nick had a bigger dog than Craig because [MASK] fed their dog much more food. Does [MASK] refer to Nick or Craig? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Nick
Reasoning: The sentence states that Nick had a bigger dog than Craig because Nick fed his dog much more food. Therefore, [MASK] refers to Nick.",1,1,,bq
"Nick had a smaller dog than Craig because [MASK] fed their dog much more food. Does [MASK] refer to Nick or Craig? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Craig

Reasoning: The sentence states that Nick had a smaller dog than Craig because Craig fed his dog much more food. Therefore, Craig is the one who fed his dog more food, and as a result, his dog is larger than Nick's dog.",1,1,,bq
"There was more shade in the yard of Christine than there was in the yard of Victoria because [MASK] had more plants. Does [MASK] refer to Christine or Victoria? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Christine

Reasoning: The sentence states that there was more shade in Christine's yard than in Victoria's yard because Christine had more plants. Since the presence of more plants leads to more shade, it is logical to conclude that Christine has more shade in her yard.",1,0,,
"There was more shade in the yard of Christine than there was in the yard of Victoria because [MASK] had less plants. Does [MASK] refer to Christine or Victoria? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Victoria

Reasoning: The sentence states that there was more shade in Christine's yard than in Victoria's yard because the former had less plants. This means that Victoria's yard had more plants, which would provide more shade. Therefore, [MASK] must refer to Victoria.",1,1,,self-contra
"Kyle loves chocolate and candy and Steven loves pickles and lemons. [MASK] loves sour foods. Does [MASK] refer to Kyle or Steven? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: It is impossible to determine based on the given information.
Reasoning: The sentence only mentions that Kyle loves chocolate and candy, and Steven loves pickles and lemons. There is no mention of sour foods being a preference for either Kyle or Steven.",0,0,,
"Kyle loves chocolate and candy and Steven loves pickles and lemons. [MASK] loves sweet foods. Does [MASK] refer to Kyle or Steven? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kyle
Reasoning: The sentence mentions that Kyle loves chocolate and candy, which are sweet foods. Therefore, it is logical to conclude that [MASK] refers to Kyle.",1,0,,
"Since Benjamin ate unhealthy desserts far more frequently than Brett, [MASK] had strong will power. Does [MASK] refer to Benjamin or Brett? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Benjamin

Reasoning: The sentence states that Benjamin ate unhealthy desserts more frequently than Brett, but despite that, [MASK] had strong will power. Since having strong will power is the opposite of giving in to the frequent consumption of unhealthy desserts, it is logical to conclude that [MASK] must be Benjamin.",0,1,,ir
"Since Benjamin ate unhealthy desserts far more frequently than Brett, [MASK] had weak will power. Does [MASK] refer to Benjamin or Brett? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Benjamin
Reasoning: The sentence states that Benjamin ate unhealthy desserts more frequently than Brett, implying that Benjamin had a weaker willpower in resisting the temptation to eat unhealthy desserts.",1,0,,
"Eric asked Michael on a date to go to the movies on Friday night because [MASK] was very confident. Does [MASK] refer to Eric or Michael? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Eric
Reasoning: The sentence states that Eric asked Michael on a date because he was very confident. Therefore, Eric is the one who is confident and initiated the date request.",1,0,,ir
"Eric asked Michael on a date to go to the movies Friday night because [MASK] was very attractive. Does [MASK] refer to Eric or Michael? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Michael
Reasoning: The sentence states that Eric asked Michael on a date to go to the movies, implying that Eric finds Michael attractive. Therefore, [MASK] must refer to Michael.",1,0,,
"Amy hated the smell of bleach, but still Kayla used it all the time to clean so [MASK] always leaves the house. Does [MASK] refer to Amy or Kayla? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Kayla
Reasoning: The sentence states that Amy hates the smell of bleach, but Kayla uses it to clean, and as a result, [MASK] always leaves the house. Since Kayla is the one using the bleach, it is logical to conclude that [MASK] refers to her.",0,1,,ir
"Eric looked at Neil in shock and started to react violently because [MASK] lied to him. Does [MASK] refer to Eric or Neil? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Neil
Reasoning: The sentence states that Eric reacted violently because Neil lied to him. Therefore, [MASK] must refer to Neil.",1,1,,bq
"Eric looked at Neil in shock and started to react violently because [MASK] felt betrayed. Does [MASK] refer to Eric or Neil? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Neil
Reasoning: The sentence states that Eric reacted violently because he felt betrayed. The person who betrayed Eric is not explicitly stated in the sentence, but based on the context, it is reasonable to assume that Neil is the one who betrayed Eric. Therefore, [MASK] refers to Neil.",0,1,,ir
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from [MASK] made a lot of sense. Does [MASK] refer to Matthew or Jeffrey? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Matthew
Reasoning: The sentence states that Matthew used an oil lubricant when expanding his piercing, while Jeffrey did not. The painful experience from [MASK] likely refers to the experience that Matthew had due to not using the lubricant, making the sentence make more sense if [MASK] refers to Matthew.",0,0,,wck
"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from [MASK] made a lot of sense. Does [MASK] refer to Matthew or Jeffrey? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Matthew
Reasoning: The sentence states that Matthew had an agreeable experience from using an oil lubricant when expanding his piercing, unlike Jeffrey. Therefore, it is logical to assume that [MASK] refers to Matthew, as the sentence is describing his experience.",1,1,,bq
"Samantha brought a get well card to the hospital but Emily forgot to because [MASK] was preoccupied. Does [MASK] refer to Samantha or Emily? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Emily
Reasoning: The sentence states that Samantha brought a get well card to the hospital but Emily forgot to. Therefore, it is Emily who was preoccupied and forgot to bring the card.",1,0,,
"Samantha brought a get well card to the hospital but Emily forgot to because [MASK] was thoughtful. Does [MASK] refer to Samantha or Emily? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Emily
Reasoning: The sentence states that Samantha brought a get well card to the hospital but Emily forgot to. Therefore, it is Emily who did not bring the card.",0,1,,ir
"Jessica took off the gloves and gave them to Katrina because [MASK] 's hands were cold. Does [MASK] refer to Jessica or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Jessica
Reasoning: The sentence states that Jessica gave her gloves to Katrina because Jessica's hands were cold. Therefore, [MASK] refers to Jessica.",0,0,,bq
"Jessica took off the gloves and gave them to Katrina because [MASK] 's hands were warm. Does [MASK] refer to Jessica or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Jessica
Reasoning: The sentence states that Jessica gave her gloves to Katrina because Jessica's hands were warm. This means that Jessica's hands were warm, so it must be Jessica whose hands were referred to by [MASK].",1,1,,bq
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. [MASK] felt relieved and elated. Does [MASK] refer to Megan or Mary? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Mary

Reasoning: The sentence states that Megan was let go from their job and Mary was promoted. Since the sentence mentions that Mary was promoted, it implies that she was happy about the turn of events. Therefore, [MASK] most likely refers to Mary.",1,0,,
"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. [MASK] felt depressed and hopeless. Does [MASK] refer to Megan or Mary? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Megan
Reasoning: The sentence states that Megan was let go from their job due to the bankruptcy, while Mary was promoted. It is reasonable to assume that the bankruptcy and subsequent job loss would cause feelings of depression and hopelessness, so [MASK] must refer to Megan.",1,0,,
"John's certification was less important that Jim's degree because the [MASK] was from a minor University. Does [MASK] refer to certification or degree? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: certification
 Reasoning: The sentence states that John's certification was less important than Jim's degree because the certification was from a minor university. Therefore, [MASK] refers to certification.",1,1,,bq
"John's certification was less important that Jim's degree because the [MASK] was from a major University. Does [MASK] refer to certification or degree? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: degree
 Reasoning: The sentence states that Jim's degree was more important than John's certification. Since the reason given is that Jim's degree was from a major University, it implies that the degree referred to is a university degree, not a certification.",1,1,,bq
"They opted not to go to the dance but to the movie instead, the [MASK] seemed like a proper destination for their date. Does [MASK] refer to dance or movie? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: movie
 Reasoning: The sentence states that they opted for the movie instead of the dance, and the movie being a ""proper destination"" implies that it was a suitable and enjoyable choice for their date.",1,1,,bq
"They opted not to go to the dance but to the movie instead, the [MASK] seemed like an inappropriate destination for their date. Does [MASK] refer to dance or movie? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: dance
 Reasoning: The sentence states that they opted not to go to the dance but to the movie instead. The word ""but"" indicates a contrast between the two options. The sentence implies that the movie was a more appropriate destination for their date, while the dance seemed like an inappropriate one. Therefore, it is logical to conclude that the dance is the [MASK] referred to in the sentence.",1,0,,
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the [MASK] because he was hot. Does [MASK] refer to downstairs or upstairs? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: upstairs
 Reasoning: The sentence states that it was twenty degrees cooler downstairs than upstairs, so Byron stayed in the warmer area (upstairs) because he was hot.",0,0,,wek
"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the [MASK] because he was cold. Does [MASK] refer to downstairs or upstairs? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: downstairs
 Reasoning: The sentence states that it was twenty degrees cooler downstairs than upstairs, and Byron stayed in the cooler area because he was cold. Therefore, [MASK] should refer to downstairs.",0,0,,wek
"Michael wanted to take Craig out on the water in his new boat. [MASK] said it would be fun to show him the ropes. Does [MASK] refer to Michael or Craig? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Craig
Reasoning: Craig is the one suggested that it would be fun to show Michael the ropes on the boat. This indicates that Craig is excited about the idea of going out on the boat with Michael and helping him learn how to operate it.",0,0,,bq
"Michael wanted to take Craig out on the water in his new boat. [MASK] said it would be confusing to see how the boat works. Does [MASK] refer to Michael or Craig? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Craig
Reasoning: Craig is the one who said it would be confusing to see how the boat works, indicating that he may not be familiar with boats or boating, and Michael is the one who wants to take Craig out on the water in his new boat.",1,1,,bq
"Come over here and take a look at my scalp today  Natalie told Katrina, [MASK] hates providing her  opinion. Does [MASK] refer to Natalie or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Natalie
Reasoning: The sentence states that Natalie told Katrina to come over and look at her scalp. The sentence then mentions that ""she"" hates providing her opinion. Since the pronoun ""she"" refers back to Natalie, it is clear that she is the one who hates providing her opinion.",0,0,,bq
"Come over here and take a look at my scalp today  Natalie told Katrina, [MASK] needs a second opinion. Does [MASK] refer to Natalie or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Natalie
Reasoning: The sentence states that Natalie told Katrina that ""my scalp"" needs a second opinion. Since ""my scalp"" refers to Natalie's scalp, it follows that [MASK] refers to Natalie.",1,1,,qc
"The sushi rotted on the counter unless it was put in the cooler, as the [MASK] exposed it to contamination. Does [MASK] refer to counter or cooler? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: counter
 Reasoning: The sentence states that the sushi rotted on the counter unless it was put in the cooler. Since the counter is where the sushi was before it was put in the cooler, it is the source of the contamination that caused the sushi to rot.",1,0,,
"The sushi rotted on the counter unless it was put in the cooler, as the [MASK] protected it from contamination. Does [MASK] refer to counter or cooler? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: cooler
 Reasoning: The cooler protected the sushi from contamination, so it is the [MASK] referred to in the sentence.",1,1,,bq
"Laura always had more motivation in life and achieving goals than Katrina, as [MASK] was optimistic. Does [MASK] refer to Laura or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Laura
Reasoning: The sentence states that Laura always had more motivation in life and achieving goals than Katrina, and that this was because she was optimistic. Therefore, [MASK] refers to Laura, as the optimistic outlook is a characteristic of hers that gives her more motivation.",1,0,,
"Laura always had more motivation in life and achieving goals than Katrina, as [MASK] was lazy. Does [MASK] refer to Laura or Katrina? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: Katrina
Reasoning: The sentence states that Laura had more motivation in life and achieving goals than Katrina, implying that Katrina lacked motivation or was lazy. Therefore, [MASK] refers to Katrina.",1,0,,
"Ben had to either stop eating chocolates or nuts. He chose to stop eating the [MASK] because they were savory. Does [MASK] refer to chocolates or nuts? Give your answer first, then reasoning. Follow the format: Answer:[answer]
Reasoning: [reasoning]
","Answer: nuts
 Reasoning: The sentence states that Ben had to choose between stopping eating chocolates or nuts, and he chose to stop eating nuts because they were savory. Since Ben chose to stop eating nuts, it is logical to conclude that [MASK] refers to nuts.",1,1,,bq
